label,cell_type,mean_attention,sem,count
Ventral auditory area,Car3,0.0308533253218,0.000144955656023,13291
Laterointermediate area,L6 CT,0.03084648269,0.000332485365955,5511
"Retrosplenial area, dorsal part",AON,0.0307607650757,0.0,1
"Retrosplenial area, ventral part",L6 IT,0.0307079393453,0.000350963725068,1846
Anteromedial visual area,LA,0.030629668917,0.00306300960251,7
"Retrosplenial area, lateral agranular part",L5 IT,0.0305354779773,0.000251282676269,6379
"Retrosplenial area, lateral agranular part",HIP CA3,0.0304718986154,0.00185961025237,32
"Primary somatosensory area, trunk",L5 IT,0.0303919033,0.00602842800663,19
Primary visual area,L6 CT,0.0302675852357,6.70942544633e-05,117612
"Anterior cingulate area, ventral part",NA,0.0302583018939,0.00196446989652,60
posteromedial visual area,PIR UL,0.0301543261573,0.00139001943896,171
Postrhinal area,L2/3 IT,0.0300561782201,9.35427430879e-05,33106
Primary auditory area,BLA/BMA/PA,0.0300474663575,0.00168499821517,42
"Retrosplenial area, lateral agranular part",ENT DL,0.0300330470931,0.000409374908597,1932
posteromedial visual area,Low quality,0.0299707405071,0.00109969397781,1130
posteromedial visual area,L4/5 IT,0.0299470655641,0.000247632971876,8945
"Retrosplenial area, dorsal part",ENT DL,0.0299324049567,0.000421411372104,1370
"Retrosplenial area, lateral agranular part",NP,0.029929608941,0.000309707940834,7572
"Retrosplenial area, lateral agranular part",BLAa,0.0299181668264,0.000592074007621,53
Primary auditory area,L5 IT,0.02986876366,0.000215053753687,9559
Perirhinal area,L2/3 IT,0.0298567049222,0.000199837609984,4999
Dorsal auditory area,ENT DL,0.0298543611058,0.00378294093956,54
Lateral visual area,ENT ML,0.0297949010149,0.0016152696386,401
Primary visual area,Car3,0.0296592904016,0.000384344152288,4722
Ventral auditory area,RSP/ACA UL,0.0296589533488,0.00570233581182,3
Dorsal auditory area,L5 IT,0.0296508669393,0.0003631584238,5179
"Primary somatosensory area, barrel field",L5 IT,0.0296026996152,0.000611895729802,1635
Perirhinal area,EPd,0.0295997987088,0.00178973624342,97
Posterolateral visual area,AON,0.0295750704679,0.00130911030999,55
Posterior auditory area,L2/3 IT,0.0295728889567,0.000192106817934,15485
Ectorhinal area,COA,0.0294859118936,0.00117557176711,508
Dorsal auditory area,L6b/CT,0.0294828421848,0.00204142261233,86
Postrhinal area,ENT ML,0.0293943134843,0.000153252100513,9779
Ectorhinal area,HIP CA1,0.0293841362,0.00149845727516,7
"Anterior cingulate area, ventral part",ENT DL,0.0293641090393,0.00931692123413,2
"Retrosplenial area, dorsal part",NA,0.0293045702579,0.000159781684406,29994
"Anterior cingulate area, ventral part",NP PPP/RSP,0.0293003082275,0.00469130812708,5
Postrhinal area,RSP/ACA ML,0.029230464782,0.000961460248568,112
posteromedial visual area,BLAa,0.0292063126197,0.0012640469204,39
Posterolateral visual area,L2/3 IT,0.0292045681764,0.000114968377216,18747
Primary visual area,ENT ML,0.0291946231644,0.000583707810698,1766
Primary visual area,COA,0.0290927055635,0.00185752384162,152
Ectorhinal area,L6b/CT,0.0290867548272,0.000479762803909,2544
"Retrosplenial area, dorsal part",L6 CT,0.0290761772983,0.000168040914434,13709
Anteromedial visual area,L4/5 IT,0.0290694705583,0.00048564102802,2359
"Primary somatosensory area, barrel field",COA,0.0290115674337,0.00236565596951,24
Primary auditory area,L5 ET,0.028970983892,0.000167086870024,11876
"Retrosplenial area, dorsal part",L4/5 IT,0.0289605576709,0.000609037543235,1475
Anteromedial visual area,PIR UL,0.0289256355979,0.00253573777361,22
Ectorhinal area,RSP/ACA ML,0.0288470380686,0.00105080705757,176
"Retrosplenial area, lateral agranular part",RSP/ACA ML,0.0288307156079,0.000180094981072,18570
"Retrosplenial area, dorsal part",L2/3 IT,0.028788598928,0.000531922468007,1316
